doc_id,dominant_topic,confidence
1125,2,0.9821238
1126,3,0.52351964
1127,3,0.98130363
1128,5,0.95817834
1129,4,0.7636114
1130,5,0.95817894
1131,0,0.96200943
1132,3,0.5840218
1133,3,0.52911735
1134,6,0.7866574
1135,5,0.7878777
1136,6,0.9616911
1137,2,0.96497583
1138,3,0.7481786
1139,0,0.967236
1140,2,0.96497464
1141,3,0.6433447
1142,1,0.95724565
1143,1,0.96355957
1144,1,0.73563766
1145,5,0.96151245
1146,1,0.9682499
1147,3,0.730346
1148,0,0.5180433
1149,6,0.9583708
1150,4,0.957956
1151,0,0.9620087
1152,5,0.95421124
1153,5,0.787256
1154,7,0.96089077
1155,0,0.9648173
1156,5,0.9581783
1157,2,0.66731715
1158,3,0.98282725
1159,4,0.74910325
1160,0,0.5134572
1161,0,0.5338863
1162,4,0.9539659
1163,3,0.6154463
1164,6,0.9616905
1165,6,0.5506758
1166,3,0.61296093
1167,2,0.962185
1168,3,0.82321113
1169,3,0.81099176
1170,0,0.7173213
1171,3,0.7324796
1172,3,0.5948184
1173,3,0.7124529
1174,3,0.9828272
1175,0,0.9648139
1176,4,0.8011062
1177,2,0.98212415
1178,2,0.96497726
1179,6,0.9616878
1180,6,0.85877717
1181,3,0.68376666
1182,0,0.7163383
1183,0,0.56742465
1184,3,0.54947585
1185,3,0.7450587
1186,3,0.5328176
1187,3,0.6265501
1188,3,0.62988496
1189,5,0.72870857
1190,2,0.9621837
1191,6,0.96168995
1192,5,0.95818025
1193,3,0.5451448
1194,5,0.9581793
1195,3,0.66811293
1196,1,0.460077
1197,2,0.96738446
1198,3,0.53005147
1199,3,0.9834996
1200,3,0.6266096
1201,5,0.9581797
1202,2,0.98066705
1203,0,0.9620128
1204,6,0.7987459
1205,3,0.74324876
1206,0,0.9587219
1207,6,0.8347985
1208,0,0.9587172
1209,0,0.5471182
1210,0,0.5925251
1211,5,0.9643541
1212,2,0.78695893
1213,4,0.96130913
1214,3,0.59705997
1215,7,0.7747191
1216,6,0.82493603
1217,6,0.96168983
1218,0,0.87884086
1219,1,0.9572451
1220,3,0.6506081
1221,0,0.958722
1222,3,0.6461987
1223,0,0.508057
1224,3,0.63043946
1225,0,0.46240243
1226,6,0.8694927
1227,2,0.98337734
1228,3,0.69813555
1229,6,0.96168816
1230,6,0.96169055
1231,6,0.8013071
1232,3,0.6043125
1233,4,0.95795643
1234,2,0.74882597
1235,3,0.80234164
1236,5,0.94941515
1237,0,0.964817
1238,6,0.9669571
1239,2,0.7554858
1240,3,0.6697799
1241,1,0.5643958
1242,6,0.95837176
1243,2,0.7136463
1244,3,0.7498292
1245,3,0.5943888
1246,1,0.95724607
1247,2,0.98337525
1248,2,0.9694829
1249,0,0.8059138
1250,0,0.9648165
1251,2,0.98337704
1252,3,0.67194515
1253,1,0.9701695
1254,3,0.61329067
1255,3,0.55230254
1256,3,0.6135545
1257,6,0.9690833
1258,6,0.8400074
1259,2,0.6540108
1260,0,0.9620112
1261,1,0.8154038
1262,3,0.9834995
1263,3,0.513136
1264,3,0.5680295
1265,5,0.96435434
1266,0,0.96200967
1267,3,0.571149
1268,3,0.98282725
1269,6,0.67163426
1270,0,0.8695435
1271,0,0.964816
1272,4,0.771799
1273,3,0.72458714
1274,3,0.58231133
1275,3,0.5617882
1276,3,0.63357514
